Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 10:47:22 2023 local_rank: 0, epoch: 1, step: 54349, loss is 0.07965
time: Tue Dec 19 10:48:06 2023 local_rank: 0, epoch: 1, step: 54354, loss is 0.0895
time: Tue Dec 19 10:48:49 2023 local_rank: 0, epoch: 1, step: 54359, loss is 0.09625
time: Tue Dec 19 10:49:33 2023 local_rank: 0, epoch: 1, step: 54364, loss is 0.105
time: Tue Dec 19 10:50:17 2023 local_rank: 0, epoch: 1, step: 54369, loss is 0.1064
time: Tue Dec 19 10:51:00 2023 local_rank: 0, epoch: 1, step: 54374, loss is 0.09827
time: Tue Dec 19 10:51:43 2023 local_rank: 0, epoch: 1, step: 54379, loss is 0.084
time: Tue Dec 19 10:52:26 2023 local_rank: 0, epoch: 1, step: 54384, loss is 0.08954
time: Tue Dec 19 10:53:10 2023 local_rank: 0, epoch: 1, step: 54389, loss is 0.1036
time: Tue Dec 19 10:53:54 2023 local_rank: 0, epoch: 1, step: 54394, loss is 0.11743
time: Tue Dec 19 10:54:37 2023 local_rank: 0, epoch: 1, step: 54399, loss is 0.1093
time: Tue Dec 19 10:55:20 2023 local_rank: 0, epoch: 1, step: 54404, loss is 0.1205
time: Tue Dec 19 10:56:03 2023 local_rank: 0, epoch: 1, step: 54409, loss is 0.10767
time: Tue Dec 19 10:56:47 2023 local_rank: 0, epoch: 1, step: 54414, loss is 0.1296
time: Tue Dec 19 10:57:30 2023 local_rank: 0, epoch: 1, step: 54419, loss is 0.1014
time: Tue Dec 19 10:58:12 2023 local_rank: 0, epoch: 1, step: 54424, loss is 0.1344
time: Tue Dec 19 10:58:55 2023 local_rank: 0, epoch: 1, step: 54429, loss is 0.1439
time: Tue Dec 19 10:59:38 2023 local_rank: 0, epoch: 1, step: 54434, loss is 0.1106
time: Tue Dec 19 11:00:21 2023 local_rank: 0, epoch: 1, step: 54439, loss is 0.10876
time: Tue Dec 19 11:01:04 2023 local_rank: 0, epoch: 1, step: 54444, loss is 0.09717
time: Tue Dec 19 11:01:47 2023 local_rank: 0, epoch: 1, step: 54449, loss is 0.0971
time: Tue Dec 19 11:02:30 2023 local_rank: 0, epoch: 1, step: 54454, loss is 0.0962
time: Tue Dec 19 11:03:13 2023 local_rank: 0, epoch: 1, step: 54459, loss is 0.1075
time: Tue Dec 19 11:03:56 2023 local_rank: 0, epoch: 1, step: 54464, loss is 0.106
time: Tue Dec 19 11:04:39 2023 local_rank: 0, epoch: 1, step: 54469, loss is 0.0999
time: Tue Dec 19 11:05:23 2023 local_rank: 0, epoch: 1, step: 54474, loss is 0.10986
time: Tue Dec 19 11:06:06 2023 local_rank: 0, epoch: 1, step: 54479, loss is 0.10266
time: Tue Dec 19 11:06:49 2023 local_rank: 0, epoch: 1, step: 54484, loss is 0.0982
time: Tue Dec 19 11:07:32 2023 local_rank: 0, epoch: 1, step: 54489, loss is 0.11255
time: Tue Dec 19 11:08:16 2023 local_rank: 0, epoch: 1, step: 54494, loss is 0.104
time: Tue Dec 19 11:08:59 2023 local_rank: 0, epoch: 1, step: 54499, loss is 0.09814
time: Tue Dec 19 11:09:41 2023 local_rank: 0, epoch: 1, step: 54504, loss is 0.11554
time: Tue Dec 19 11:10:25 2023 local_rank: 0, epoch: 1, step: 54509, loss is 0.12476
time: Tue Dec 19 11:11:07 2023 local_rank: 0, epoch: 1, step: 54514, loss is 0.146
time: Tue Dec 19 11:11:50 2023 local_rank: 0, epoch: 1, step: 54519, loss is 0.1481
time: Tue Dec 19 11:12:33 2023 local_rank: 0, epoch: 1, step: 54524, loss is 0.1055
time: Tue Dec 19 11:13:16 2023 local_rank: 0, epoch: 1, step: 54529, loss is 0.12286
time: Tue Dec 19 11:13:59 2023 local_rank: 0, epoch: 1, step: 54534, loss is 0.10706
time: Tue Dec 19 11:14:42 2023 local_rank: 0, epoch: 1, step: 54539, loss is 0.1764
time: Tue Dec 19 11:15:25 2023 local_rank: 0, epoch: 1, step: 54544, loss is 0.1392
time: Tue Dec 19 11:16:08 2023 local_rank: 0, epoch: 1, step: 54549, loss is 0.173
time: Tue Dec 19 11:16:52 2023 local_rank: 0, epoch: 1, step: 54554, loss is 0.1931
time: Tue Dec 19 11:17:35 2023 local_rank: 0, epoch: 1, step: 54559, loss is 0.1597
time: Tue Dec 19 11:18:18 2023 local_rank: 0, epoch: 1, step: 54564, loss is 0.1748
time: Tue Dec 19 11:19:01 2023 local_rank: 0, epoch: 1, step: 54569, loss is 0.0806
time: Tue Dec 19 11:19:44 2023 local_rank: 0, epoch: 1, step: 54574, loss is 0.0895
time: Tue Dec 19 11:20:27 2023 local_rank: 0, epoch: 1, step: 54579, loss is 0.0868
time: Tue Dec 19 11:21:09 2023 local_rank: 0, epoch: 1, step: 54584, loss is 0.0801
time: Tue Dec 19 11:21:52 2023 local_rank: 0, epoch: 1, step: 54589, loss is 0.0984
time: Tue Dec 19 11:22:35 2023 local_rank: 0, epoch: 1, step: 54594, loss is 0.09064
time: Tue Dec 19 11:23:18 2023 local_rank: 0, epoch: 1, step: 54599, loss is 0.09357
time: Tue Dec 19 11:24:01 2023 local_rank: 0, epoch: 1, step: 54604, loss is 0.094
time: Tue Dec 19 11:24:44 2023 local_rank: 0, epoch: 1, step: 54609, loss is 0.1013
time: Tue Dec 19 11:25:27 2023 local_rank: 0, epoch: 1, step: 54614, loss is 0.11084
time: Tue Dec 19 11:26:10 2023 local_rank: 0, epoch: 1, step: 54619, loss is 0.09845
time: Tue Dec 19 11:26:54 2023 local_rank: 0, epoch: 1, step: 54624, loss is 0.12006
time: Tue Dec 19 11:27:37 2023 local_rank: 0, epoch: 1, step: 54629, loss is 0.1156
time: Tue Dec 19 11:28:20 2023 local_rank: 0, epoch: 1, step: 54634, loss is 0.1013
